Text,Label
All applications under the GlobalPlatform shall be implemented in a hardware-neutral secure runtime environment,sec
The run time environment shall be responsible to separate secure storage for the application code and data,sec
The run time environment shall responsible to establish communication services  between card and off-card entities,nonsec
Security domain shall ensure complete seperation of keys among the card issuers and other application providers,sec
"""Security Domains shall support security services such as key handling, encryption, decryption, digital signature generation and verification for their providers' such as card issuer, applicaiton providers and controlling authority""",sec
"The GlobalPlatform Environment (OPEN) shall responsible for to provide an API to applications, command dispatch, Application selection, (optional) logical channel management, and Card Content management",nonsec
"The OPEN shall responsible to load application code, card content and memory management",nonsec
The OPEN shall responsible to enforce security principles defined for Card Content management.,sec
"The OPEN shall own the GlobalPlatform register that contains information for managing the card, Executable Load Files,Applications, Security Domain associations, and privileges.",nonsec
The GlobalPlatform API shall provides services to the application such as card verification and security services,sec
The GlobalPlatform API shall provides services  to the card content management such as  card locking and application life cycle state update,nonsec
"The primary goal of the GlobalPlatform is to ensure the security and integrity of the card's components for the life of the card. These components are The runtime environment,The OPEN,The Issuer Security Domain,Supplementary Security Domains, The Applications.",sec
"To ensure card security and integrity, the GlobalPlatform is designed to support a range of secure mechanisms for: Data integrity, Resource availability, Confidentiality, Authentication.",sec
"The Card Issuer is responsible for Generating and loading the Issuer Security Domain keys,",sec
"""The Card Issuer is responsible for Enforcing standards and policies for Application Providers governing all aspects of Applications to be provided to the Card Issuer or operated on the Card Issuer's cards,""",sec
"""The Card Issuer is responsible for Working with Application Providers to create and initialize Security Domains other than the Issuer Security Domain,""",nonsec
"""The Card Issuer is responsible for Determining policy with regards to card and Application Life Cycle management, velocity checking levels, privileges, and other security parameters,""",nonsec
The Card Issuer is responsible for Managing the application code loading and installing both on a Pre-Issuance and Post-Issuance basis,nonsec
"The Card Issuer is responsible for Cryptographically authorizing load, install, and extradition to be performed by Application Providers.",sec
"""The Application Provider is responsible for Generating the keys for its own Security Domains or obtaining Security Domain keys from a trusted third party,""",sec
"The Application Provider is responsible for Working with the Card Issuer to load generated keys into the Application Provider's Security Domain,",sec
"The Application Provider is responsible for Providing applications that meet the Card Issuer's security standards and policies,",nonsec
"""The Application Provider is responsible for Providing load file data block signatures according to its own security policy for integrity and source authenticity,""",sec
"The Application Provider is responsible for Obtaining pre-authorization for load, install, and extradition from the Card Issuer,",nonsec
"The Application Provider is responsible for Returning receipts for load, install, delete, and extradition, according to the Card Issuer's policy.",nonsec
"""A Controlling Authority is responsible for Generating the keys for its own Security Domain or obtaining Security Domain keys from a trusted third party,""",sec
"A Controlling Authority is responsible for Working with the Card Issuer to load generated keys into the Controlling Authority's Security Domain,",sec
"""A Controlling Authority is responsible for Providing load file data block signatures according to its own security policy for integrity and source authenticity.""",sec
"""The runtime environment is responsible for Providing an interface to all Applications that ensures that the runtime environment security mechanisms cannot be bypassed, deactivated, corrupted or otherwise circumvented,""",sec
The runtime environment is responsible for Performing secure memory management,sec
"""Secure memory management shall ensure that Each application's code and data (including transient session data) as well as the runtime environment itself and its data (including transient session data) is protected from unauthorized access from within the card,""",sec
"""Secure memory management shall ensure that When more than one logical channel is supported, each concurrently selected Application's code and data (including transient session data) as well as the runtime environment itself and its data (including transient session data) is protected from unauthorized access from within the card,""",sec
"Secure memory management shall ensure that The previous contents of the memory is not accessible when that memory is reused,",sec
"""Secure memory management shall ensure that The memory recovery process is secure and consistent in case of a loss of power or withdrawal of the card from the card reader while an operation is in progress,""",sec
"""The runtime environment is responsible for Providing communication services with off-card entities that ensures the proper transmission (according to the specific communication protocol rules) of unaltered command and response messages.""",sec
"Each Trusted Framework present on the card shall Check the application access rules of the inter-acting Applications according to their respective privileges,",sec
"""Each Trusted Framework present on the card shall Enforce the Trusted Framework security rules for inter-application communication, including the rules, defined in appendix G,""",sec
"Each Trusted Framework present on the card shall Ensure that incoming messages are properly routed unaltered to their intended destinations,",sec
"""Each Trusted Framework present on the card shall Ensure that any response messages are properly returned unaltered (except for any cryptographic protection) to the original receiver of the incoming message.""",sec
"""The OPEN shall Provide an interface to all Applications that ensures that the GlobalPlatform security mechanism cannot be bypassed, deactivated, corrupted or otherwise circumvented,""",sec
"The OPEN shall Check application access rules according to the Applications' privileges,",sec
The OPEN shall Manage card and Application Life Cycle,nonsec
"The OPEN shall Ensure that the Card Content changes are authorized by the Card Issuer,",sec
"The OPEN shall Ensure that application code has been signed by the Controlling Authority represented on the card,",sec
"The OPEN shall Ensure that application code has been signed by Application Providers represented on the card, if required.",sec
