Initial number,Requirement,Context (Keywords),Name of Doc,Sec / Not Sec,Labeled by,Comments,
4194, If the object is in a locked state the user shall be prompted to delete all projects that reference this object following the candidate object deletion rules.,System Features,2004 - grid bgc,0,Айдар,,
5433, It may point to soil type or local cultural practice problems.,Functional Requirements,water use.pdf,0,Василий,,
4228, The system shall provide a list of all parameters for each category.,System Features,2004 - grid bgc,0,Айдар,,
4450, The system shall support a hierarchical representation of organizational structures.,Functional Requirements,2004 - sprat,0,Айдар,,
4453, The system shall support the definition of roles.,Functional Requirements,2004 - sprat,1,Айдар,explicitly mentions security features,
457,"""Pipe"" sockets are used for ""immediate"" communication. They may be created with a broadcast capability.",Memory Management Services,nasa x38.doc,0,Кирилл,,
587,"""Pipes"" provide fast data throughput between virtual groups or within a virtual group when minimal data latency is necessary.",Other Requirements,nasa x38.doc,0,Кирилл,,
919,"""Technically""' speaking, the system should be able to detect people automatically and doesn't need to be approached by a subject.",Functional specs,beyond.pdf,0,Кирилл,,
2786,„Contact Us‟ and „Online Donation Form‟ website pages should integrate with Salesforce and allow donors to upload images.,Website Integration,inventory-2.0.pdf,0,Кирилл,,
5380,(Note: In response to one of Kurt's comments regarding the amount of pumping in areas in relationship to amount of rainfall and irrigation system efficiency.),Functional Requirements,water use.pdf,0,Василий,,
1315,[SRSreq 36] The View/Standard Error menu item shall provide an interface for viewing error strings collected from HATS-SML.,User Interface,hats.pdf,0,Кирилл,,
4971,*agentMom shall support the ability to decrypt unicast message.,Security,2003 - agentmom.pdf,1,Вячеслав,,
4970,*agentMom shall support the ability to encrypt unicast message.,Security,2003 - agentmom.pdf,1,Вячеслав,,
4968,*agentMom shall support the ability to receive broadcast message.,Broadcast Communication,2003 - agentmom.pdf,0,Вячеслав,,
4959,*agentMom shall support the ability to receive multicast message.,Multicast Communication,2003 - agentmom.pdf,0,Вячеслав,,
4955,*agentMom shall support the ability to receive unicast message.,Unicast Communication,2003 - agentmom.pdf,0,Вячеслав,,
4958,*agentMom shall support the ability to send multicast message.,Multicast Communication,2003 - agentmom.pdf,0,Вячеслав,,
4960,*agentMom shall support the ability to send request to join multicast group.,Multicast Communication,2003 - agentmom.pdf,0,Вячеслав,,
4961,*agentMom shall support the ability to send request to leave multicast group.,Multicast Communication,2003 - agentmom.pdf,0,Вячеслав,,
4954,*agentMom shall support the ability to send unicast message.,Unicast Communication,2003 - agentmom.pdf,0,Вячеслав,,
4967,*agentMom shall support the ability to sent broadcast message.,Broadcast Communication,2003 - agentmom.pdf,0,Вячеслав,,
4977,*agentMom shall support the use of the architecture that agent’s components control the conversations.,Architecture,2003 - agentmom.pdf,0,Вячеслав,to discuss,
